,DATE,MATCHUP,MIN,H_TEAM,A_TEAM,H_FGM,H_FGA,H_FGPerc,H_3PM,H_3PA,H_ThreePPerc,H_FTM,H_FTA,H_FTPerc,H_OREB,H_DREB,H_REB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_EFGPerc,H_FTR,H_TOVPerc,A_FGM,A_FGA,A_FGPerc,A_3PM,A_3PA,A_ThreePPerc,A_FTM,A_FTA,A_FTPerc,A_OREB,A_DREB,A_REB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_EFGPerc,A_FTR,A_TOVPerc,Target
106,4/7/19,IND vs. BKN,240,IND,BKN,41,85,48.2,10,27,37.0,4,7,0.5710000000000001,5,28,33,27,6,3,13,18,0.5411764705882353,0.08235294117647059,12.861100118717847,40,88,45.5,11,36,30.6,17,22,0.773,17,35,52,23,7,4,15,13,0.5170454545454546,0.25,13.312034078807242,0
107,4/7/19,LAL vs. UTA,240,LAL,UTA,46,89,51.7,7,25,28.0,14,21,0.667,16,33,49,28,5,5,16,21,0.5561797752808989,0.2359550561797753,14.005602240896359,38,84,45.2,13,42,31.0,20,28,0.7140000000000001,10,25,35,25,11,4,11,17,0.5297619047619048,0.3333333333333333,10.249720462169213,1
108,4/7/19,MEM vs. DAL,264,MEM,DAL,42,98,42.9,19,44,43.2,24,28,0.857,10,43,53,32,4,4,7,24,0.5255102040816326,0.2857142857142857,5.966587112171839,45,98,45.9,12,41,29.3,27,34,0.794,11,40,51,31,4,5,6,23,0.5204081632653061,0.3469387755102041,5.043712172158708,0
109,4/7/19,MIL vs. ATL,239,MIL,ATL,40,91,44.0,9,41,22.0,26,34,0.765,11,50,61,19,8,10,14,23,0.489010989010989,0.3736263736263736,11.670556852284093,40,100,40.0,17,45,37.8,10,19,0.526,9,39,48,25,2,3,11,28,0.485,0.19,9.215817694369974,1
110,4/7/19,MIN vs. OKC,240,MIN,OKC,46,85,54.1,10,23,43.5,24,29,0.828,6,26,32,29,9,5,13,24,0.6,0.3411764705882353,11.737089201877936,48,92,52.2,14,34,41.2,22,26,0.846,14,32,46,27,6,4,13,30,0.5978260869565217,0.2826086956521739,11.164548265200963,0
111,4/7/19,NYK vs. WAS,240,NYK,WAS,41,80,51.3,17,34,50.0,14,19,0.737,7,36,43,24,5,9,15,14,0.61875,0.2375,14.512383900928793,43,103,41.7,10,34,29.4,14,18,0.778,21,29,50,24,12,4,8,16,0.4660194174757282,0.17475728155339804,6.727211570803902,1
112,4/7/19,POR vs. DEN,241,POR,DEN,41,89,46.1,9,28,32.1,24,29,0.828,17,41,58,22,5,5,16,16,0.5112359550561798,0.3258426966292135,13.586956521739127,42,95,44.2,13,33,39.4,11,20,0.55,12,30,42,24,9,4,10,26,0.5105263157894737,0.21052631578947367,8.787346221441123,1
113,4/7/19,SAC vs. NOP,240,SAC,NOP,50,109,45.9,16,40,40.0,13,17,0.765,16,31,47,27,10,4,6,13,0.5321100917431193,0.1559633027522936,4.8987589810581325,52,101,51.5,19,42,45.2,10,12,0.833,14,41,55,28,4,11,15,16,0.6089108910891089,0.1188118811881188,12.368073878627968,0
114,4/7/19,TOR vs. MIA,264,TOR,MIA,39,87,44.8,16,41,39.0,23,27,0.852,4,43,47,26,7,5,11,17,0.5402298850574713,0.3103448275862069,10.010921004732436,41,100,41.0,13,34,38.2,14,19,0.737,12,43,55,27,5,2,11,22,0.475,0.19,9.215817694369974,1
115,4/6/19,CHI vs. PHI,239,CHI,PHI,38,89,42.7,8,25,32.0,12,15,0.8,7,31,38,22,4,3,8,22,0.4719101123595506,0.16853932584269662,7.722007722007723,46,88,52.3,9,27,33.3,15,26,0.5770000000000001,10,44,54,25,5,5,10,14,0.5738636363636364,0.2954545454545455,9.137426900584797,0
