,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FGPerc,3PM,3PA,ThreePPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,EFGPerc,FTR,TOVPerc
540,DAL,3/16/19,DAL vs. CLE,W,240,121,46,89,51.7,16,34,47.1,13,16,81.3,9,31,40,32,3,5,5,22,5.0,0.6067415730337079,0.1797752808988764,4.948535233570863
541,DEN,3/16/19,DEN vs. IND,W,240,102,39,82,47.6,11,38,28.9,13,20,65.0,9,30,39,27,6,5,10,22,2.0,0.5426829268292683,0.24390243902439024,9.920634920634921
545,NOP,3/16/19,NOP vs. PHX,L,265,136,47,102,46.1,15,30,50.0,27,41,65.9,18,39,57,34,11,4,22,30,-2.0,0.5343137254901961,0.4019607843137255,15.488594762038863
546,OKC,3/16/19,OKC vs. GSW,L,239,88,31,96,32.3,13,41,31.7,13,23,56.5,17,35,52,18,4,5,16,18,-22.0,0.390625,0.23958333333333334,13.101867016049788
549,SAS,3/16/19,SAS vs. POR,W,242,108,37,79,46.8,8,17,47.1,26,30,86.7,4,40,44,17,4,10,10,14,5.0,0.5189873417721519,0.379746835443038,9.784735812133071
550,UTA,3/16/19,UTA vs. BKN,W,241,114,39,91,42.9,13,36,36.1,23,31,74.2,15,50,65,24,3,7,15,21,16.0,0.5,0.34065934065934067,12.537612838515546
551,WAS,3/16/19,WAS vs. MEM,W,241,135,41,81,50.6,17,35,48.6,36,43,83.7,9,36,45,26,6,7,11,21,7.0,0.6111111111111112,0.5308641975308642,9.91705733862243
554,DET,3/15/19,DET vs. LAL,W,240,111,37,86,43.0,17,39,43.6,20,32,62.5,16,34,50,26,5,4,14,19,14.0,0.5290697674418605,0.37209302325581395,12.272089761570827
555,HOU,3/15/19,HOU vs. PHX,W,240,108,36,83,43.4,11,40,27.5,25,33,75.8,7,35,42,18,13,6,13,20,6.0,0.5,0.39759036144578314,11.762576909156715
556,LAC,3/15/19,LAC vs. CHI,W,241,128,44,99,44.4,10,20,50.0,30,35,85.7,15,28,43,28,9,5,7,30,7.0,0.494949494949495,0.35353535353535354,5.766062602965404
558,MIA,3/15/19,MIA vs. MIL,L,241,98,38,93,40.9,8,22,36.4,14,25,56.0,10,35,45,21,7,5,12,18,-15.0,0.45161290322580644,0.26881720430107525,10.344827586206897
560,NOP,3/15/19,NOP vs. POR,L,239,110,45,94,47.9,8,30,26.7,12,25,48.0,14,31,45,31,7,6,11,23,-12.0,0.5212765957446809,0.26595744680851063,9.482758620689655
562,PHI,3/15/19,PHI vs. SAC,W,240,123,46,91,50.5,7,24,29.2,24,27,88.9,10,39,49,28,7,6,10,18,9.0,0.5439560439560439,0.2967032967032967,8.858965272856132
566,SAS,3/15/19,SAS vs. NYK,W,242,109,47,88,53.4,7,21,33.3,8,10,80.0,6,39,45,31,8,6,9,13,26.0,0.5738636363636364,0.11363636363636363,8.875739644970414
567,WAS,3/15/19,WAS vs. CHA,L,239,110,41,84,48.8,13,34,38.2,15,19,78.9,8,37,45,25,8,5,17,14,-6.0,0.5654761904761905,0.2261904761904762,15.544989027066569
568,BOS,3/14/19,BOS vs. SAC,W,240,126,49,97,50.5,9,28,32.1,19,26,73.1,10,42,52,32,7,2,13,20,6.0,0.5515463917525774,0.26804123711340205,10.704874835309617
571,DEN,3/14/19,DEN vs. DAL,W,240,100,39,81,48.1,8,29,27.6,14,17,82.4,8,36,44,27,6,7,11,16,1.0,0.5308641975308642,0.20987654320987653,11.057498994772818
572,IND,3/14/19,IND vs. OKC,W,241,108,37,82,45.1,7,22,31.8,27,32,84.4,6,33,39,24,11,3,16,17,2.0,0.49390243902439024,0.3902439024390244,14.275517487508923
576,ORL,3/14/19,ORL vs. CLE,W,240,120,45,93,48.4,14,31,45.2,16,21,76.2,12,38,50,31,11,3,9,14,29.0,0.5591397849462365,0.22580645161290322,8.090614886731393
578,TOR,3/14/19,TOR vs. LAL,W,238,111,36,91,39.6,16,41,39.0,23,29,79.3,13,39,52,21,15,6,17,20,13.0,0.4835164835164835,0.31868131868131866,14.077509108976482
579,UTA,3/14/19,UTA vs. MIN,W,238,120,44,89,49.4,13,38,34.2,19,27,70.4,13,36,49,30,7,8,11,20,20.0,0.5674157303370787,0.30337078651685395,9.831962817304255
580,ATL,3/13/19,ATL vs. MEM,W,239,132,52,103,50.5,17,45,37.8,11,14,78.6,15,36,51,35,9,9,11,26,21.0,0.587378640776699,0.13592233009708737,9.154460719041278
584,HOU,3/13/19,HOU vs. GSW,L,238,104,37,78,47.4,11,41,26.8,19,23,82.6,5,26,31,18,7,3,10,16,-2.0,0.5448717948717948,0.2948717948717949,10.191602119853242
586,MIA,3/13/19,MIA vs. DET,W,241,108,39,84,46.4,11,28,39.3,19,24,79.2,13,38,51,22,10,5,11,18,34.0,0.5297619047619048,0.2857142857142857,10.420613868889731
587,OKC,3/13/19,OKC vs. BKN,W,240,108,41,96,42.7,11,28,39.3,15,19,78.9,16,35,51,21,9,6,11,20,12.0,0.484375,0.19791666666666666,9.535367545076284
589,PHX,3/13/19,PHX vs. UTA,L,239,97,36,82,43.9,7,19,36.8,18,23,78.3,5,30,35,21,8,3,12,20,-17.0,0.4817073170731707,0.2804878048780488,11.525163273146369
591,WAS,3/13/19,WAS vs. ORL,W,240,100,42,90,46.7,8,27,29.6,8,12,66.7,10,36,46,20,5,2,8,13,10.0,0.5111111111111111,0.13333333333333333,7.745933384972889
592,CHI,3/12/19,CHI vs. LAL,L,241,107,42,91,46.2,11,27,40.7,12,12,100.0,11,33,44,23,6,0,16,22,-16.0,0.521978021978022,0.13186813186813187,14.250089063056645
