,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio
0,0.833,0.4615384615384616,0.3956043956043956,0.5741692517632146,0.5061728395061729,0.19127301391900145,1.1014598275022531,0.9520000000000001,0.6280487804878049,0.4634146341463415,0.7113795241272228,0.4938271604938271,0.10989010989010987,1.135443521003708
1,0.885,0.4308510638297872,0.40425531914893614,0.5259237061407777,0.5384615384615384,0.15617376188860607,1.0210796254253849,0.87,0.5426829268292683,0.4146341463414634,0.7277437694115145,0.4615384615384616,0.05319148936170213,1.146123127841945
2,0.8440000000000001,0.5909090909090909,0.42857142857142855,0.6446583712203042,0.4864864864864865,0.2773500981126146,1.164993050750713,0.935,0.5128205128205128,0.3974358974358974,0.7939931813032876,0.5135135135135135,0.025974025974025976,1.1041964228652112
3,0.727,0.5675675675675675,0.3648648648648649,0.5452497568062706,0.475,0.23094010767585033,1.122462048309373,0.71,0.48,0.4533333333333333,0.801816718915778,0.525,0.0945945945945946,1.09536826054436
4,0.722,0.5119047619047619,0.3690476190476191,0.4629100498862757,0.5408163265306123,0.1543033499620919,1.1541531568692316,0.8059999999999999,0.4761904761904762,0.5119047619047619,0.779418306363121,0.4591836734693878,0.047619047619047616,1.2118077484286536
5,0.889,0.5517241379310345,0.4712643678160919,0.5570860145311556,0.5238095238095238,0.25,1.1947935851046474,0.654,0.53125,0.4375,0.7550415303475492,0.4761904761904762,0.08045977011494253,1.164993050750713
6,0.7,0.5612244897959183,0.4183673469387755,0.3194382824999699,0.40425531914893614,0.24618298195866548,1.1713771318900013,0.789,0.5252525252525253,0.3939393939393939,0.661880523293427,0.5957446808510638,0.051020408163265314,1.122462048309373
7,0.8079999999999999,0.4754901960784314,0.4411764705882353,0.5048781642974013,0.4661016949152542,0.31311214554257477,1.0867213139457184,0.667,0.4411764705882353,0.4313725490196079,0.7541859578343534,0.5338983050847458,0.04901960784313725,1.0160118677733874
8,0.606,0.4647058823529412,0.4117647058823529,0.6230853024407229,0.4555555555555556,0.1889822365046136,1.122462048309373,0.87,0.5357142857142857,0.30952380952380953,0.7233727382700316,0.5444444444444444,0.05882352941176471,1.129544647567758
9,0.743,0.5380434782608695,0.44565217391304346,0.6167939547439613,0.5698924731182796,0.21442250696755896,1.252307420613697,0.76,0.4827586206896552,0.36781609195402293,0.7321586354191948,0.4301075268817205,0.06521739130434782,1.0652912865731596
10,0.778,0.5670731707317073,0.35365853658536583,0.5738190417570045,0.5747126436781609,0.3234983196103153,1.1104530774261625,0.9440000000000001,0.5465116279069767,0.4534883720930232,0.6763842923943563,0.4252873563218391,0.012195121951219513,1.0997587194001424
11,0.852,0.456989247311828,0.4731182795698925,0.5388159060803247,0.5660377358490566,0.3457820374040623,1.0977573193049615,0.85,0.4510869565217392,0.4565217391304348,0.6828267746069693,0.4339622641509434,0.04301075268817205,1.0597691651805858
12,0.833,0.6011904761904762,0.3928571428571429,0.4629100498862757,0.4719101123595506,0.3104602102825332,1.135443521003708,0.871,0.4036144578313253,0.3373493975903614,0.7817554189661924,0.5280898876404494,0.05952380952380953,1.0
13,0.718,0.3820224719101124,0.21348314606741567,0.6619684638946264,0.4811320754716981,0.3110855084191276,1.2009369551760027,0.833,0.4301075268817205,0.27956989247311825,0.7127415436192576,0.5188679245283019,0.07865168539325842,1.2599210498948732
14,0.895,0.4213483146067416,0.33707865168539325,0.46204236393150755,0.5444444444444444,0.2480694691784169,1.0699131939336628,0.833,0.5,0.4153846153846154,0.8242367502646054,0.4555555555555556,0.07865168539325842,1.0108144784568882
15,0.706,0.5674157303370787,0.4382022471910113,0.4370483222197015,0.5333333333333333,0.10846522890932808,1.0576809264052165,0.7829999999999999,0.5882352941176471,0.4470588235294118,0.7212357201267042,0.4666666666666667,0.07865168539325842,1.066387832715179
16,0.769,0.5168539325842697,0.3146067415730337,0.5404949874519412,0.6046511627906976,0.19245008972987526,1.0699131939336628,0.759,0.4876543209876543,0.4444444444444444,0.7735319290353612,0.3953488372093023,0.0449438202247191,1.1301249432352993
