,key_0,key_1,H_TEAM,DATE_x,MATCHUP_x,W/L,MIN,H_PTS,H_FGM,H_FGA,H_FGPerc,H_3PM,H_3PA,H_ThreePPerc,H_FTM,H_FTA,H_FTPerc,H_OREB,H_DREB,H_REB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_+/,H_EFGPerc,H_FTR,H_TOVPerc,Away_Team_x,A_TEAM,DATE_y,MATCHUP_y,A_W/L,A_MIN,A_PTS,A_FGM,A_FGA,A_FGPerc,A_3PM,A_3PA,A_ThreePPerc,A_FTM,A_FTA,A_FTPerc,A_OREB,A_DREB,A_REB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_+/,A_EFGPerc,A_FTR,A_TOVPerc,Away_Team_y
118,4/5/19,MEM,DAL,4/5/19,DAL vs. MEM,L,239,112,41,96,42.7,17,47,36.2,13,21,61.9,11,31,42,28,4,4,9,13,-10.0,0.515625,0.21875,7.878151260504201,MEM,MEM,4/5/19,MEM @ DAL,W,239,122,46,96,47.9,16,41,39.0,14,16,87.5,12,38,50,30,7,2,10,16,10.0,0.5625,0.16666666666666666,8.846426043878274,MEM
119,4/5/19,POR,DEN,4/5/19,DEN vs. POR,W,240,119,43,84,51.2,7,27,25.9,26,29,89.7,12,27,39,27,10,4,9,19,9.0,0.5535714285714286,0.34523809523809523,8.509833585476551,POR,POR,4/5/19,POR @ DEN,L,239,110,42,86,48.8,10,29,34.5,16,20,80.0,12,28,40,24,6,2,14,23,-9.0,0.5465116279069767,0.2325581395348837,12.867647058823529,POR
120,4/5/19,CLE,GSW,4/5/19,GSW vs. CLE,W,240,120,46,87,52.9,20,37,54.1,8,8,100.0,4,34,38,29,2,8,13,21,6.0,0.6436781609195402,0.09195402298850576,12.557959814528596,CLE,CLE,4/5/19,CLE @ GSW,L,240,114,43,97,44.3,7,30,23.3,21,23,91.3,12,36,48,21,9,1,5,11,-6.0,0.4793814432989691,0.2371134020618557,4.459507670353193,CLE
121,4/5/19,NYK,HOU,4/5/19,HOU vs. NYK,W,241,120,43,101,42.6,22,59,37.3,12,17,70.6,7,41,48,26,8,2,6,21,24.0,0.5346534653465347,0.16831683168316833,5.241090146750524,NYK,NYK,4/5/19,NYK @ HOU,L,240,96,37,82,45.1,6,27,22.2,16,27,59.3,5,48,53,22,3,6,15,17,-24.0,0.4878048780487805,0.32926829268292684,13.776634827332845,NYK
122,4/5/19,BOS,IND,4/5/19,IND vs. BOS,L,240,97,38,92,41.3,10,23,43.5,11,19,57.9,10,35,45,24,5,3,11,15,-20.0,0.4673913043478261,0.2065217391304348,9.87787356321839,BOS,BOS,4/5/19,BOS @ IND,W,240,117,48,92,52.2,7,27,25.9,14,16,87.5,7,42,49,27,7,6,11,15,20.0,0.5597826086956522,0.17391304347826084,9.996364958197018,BOS
123,4/5/19,LAL,LAC,4/5/19,LAC vs. LAL,L,241,117,40,91,44.0,10,29,34.5,27,31,87.1,7,38,45,29,7,8,11,22,-5.0,0.4945054945054945,0.3406593406593407,9.512279488066412,LAL,LAL,4/5/19,LAL @ LAC,W,240,122,43,96,44.8,14,32,43.8,22,27,81.5,14,41,55,28,8,10,14,24,5.0,0.5208333333333334,0.28125,11.486708237610765,LAL
124,4/5/19,MIA,MIN,4/5/19,MIN vs. MIA,W,240,111,43,86,50.0,8,24,33.3,17,21,81.0,9,34,43,25,10,2,18,18,2.0,0.5465116279069767,0.2441860465116279,15.895443306252208,MIA,MIA,4/5/19,MIA @ MIN,L,240,109,45,88,51.1,10,34,29.4,9,12,75.0,9,29,38,24,10,6,17,23,-2.0,0.5681818181818182,0.13636363636363635,15.41530649256438,MIA
125,4/5/19,DET,OKC,4/5/19,OKC vs. DET,W,240,123,48,101,47.5,12,29,41.4,15,22,68.2,21,38,59,30,10,4,17,24,13.0,0.5346534653465347,0.21782178217821785,13.314536340852133,DET,DET,4/5/19,DET @ OKC,L,239,110,35,81,43.2,15,41,36.6,25,31,80.6,4,28,32,20,10,8,14,23,-13.0,0.5246913580246914,0.382716049382716,12.886597938144329,DET
126,4/5/19,ATL,ORL,4/5/19,ORL vs. ATL,W,242,149,56,92,60.9,18,37,48.6,19,25,76.0,9,45,54,35,11,4,19,24,36.0,0.7065217391304348,0.2717391304347826,15.573770491803279,ATL,ATL,4/5/19,ATL @ ORL,L,240,113,41,94,43.6,10,39,25.6,21,31,67.7,10,28,38,21,16,4,14,21,-36.0,0.4893617021276596,0.3297872340425532,11.50937191713252,ATL
127,4/5/19,NOP,PHX,4/5/19,PHX vs. NOP,W,265,133,51,104,49.0,14,36,38.9,17,21,81.0,13,33,46,27,12,11,7,18,7.0,0.5576923076923077,0.20192307692307693,5.821689953426482,NOP,NOP,4/5/19,NOP @ PHX,L,265,126,49,101,48.5,8,23,34.8,20,27,74.1,15,38,53,28,4,4,15,21,-7.0,0.5247524752475248,0.2673267326732673,11.729746637472632,NOP
