,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio,Target
3820,0.861,0.4662921348314607,0.2808988764044944,0.4044943820224719,0.4842105263157895,0.07865168539325842,1.0,0.906,0.5112359550561798,0.3258426966292135,0.3595505617977528,0.5157894736842106,0.011235955056179775,1.75,0
3821,0.759,0.5542168674698795,0.39759036144578314,0.3493975903614458,0.49295774647887325,0.024390243902439025,1.7142857142857142,0.75,0.6646341463414634,0.43902439024390244,0.3414634146341464,0.5070422535211268,0.0963855421686747,2.3636363636363638,0
3822,0.69,0.4875,0.275,0.525,0.5252525252525253,0.09090909090909091,1.6,0.8,0.4343434343434344,0.32323232323232326,0.202020202020202,0.47474747474747475,0.075,3.25,1
3823,0.8240000000000001,0.6234567901234568,0.2716049382716049,0.20987654320987653,0.5844155844155844,0.0898876404494382,1.3888888888888888,0.833,0.5168539325842697,0.39325842696629215,0.1348314606741573,0.4155844155844156,0.037037037037037035,1.6923076923076923,1
3824,0.667,0.5617283950617284,0.38271604938271603,0.2962962962962963,0.5342465753424658,0.0821917808219178,2.0,0.818,0.5684931506849316,0.3424657534246575,0.4520547945205479,0.4657534246575342,0.06172839506172839,3.8333333333333335,0
3825,0.5379999999999999,0.5542168674698795,0.27710843373493976,0.3132530120481928,0.5733333333333334,0.036585365853658534,2.3,0.765,0.4573170731707317,0.23170731707317074,0.2073170731707317,0.4266666666666667,0.012048192771084338,1.375,1
3826,0.7140000000000001,0.5113636363636364,0.25,0.1590909090909091,0.5128205128205128,0.013333333333333334,1.75,0.7929999999999999,0.5933333333333334,0.32,0.38666666666666666,0.48717948717948717,0.06818181818181818,1.5714285714285714,0
3827,0.778,0.5274725274725275,0.37362637362637363,0.0989010989010989,0.4444444444444444,0.04938271604938271,3.2,0.88,0.5370370370370371,0.2962962962962963,0.30864197530864196,0.5555555555555556,0.08791208791208792,1.5,0
3828,0.917,0.6235294117647059,0.5058823529411764,0.2823529411764706,0.5465116279069767,0.03296703296703297,2.142857142857143,0.667,0.4505494505494506,0.38461538461538464,0.13186813186813187,0.45348837209302323,0.047058823529411764,2.230769230769231,1
3829,0.778,0.5346534653465347,0.33663366336633666,0.2673267326732673,0.5652173913043478,0.07291666666666667,2.125,0.7929999999999999,0.5677083333333334,0.2708333333333333,0.3020833333333333,0.43478260869565216,0.039603960396039604,2.4166666666666665,0
