,PTS,FGM,FGA,FGPerc,3PM,3PA,3PPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFGPerc,FTR
29,92.0,34.0,89.0,38.2,7.0,30.0,23.3,17.0,19.0,89.5,16.0,33.0,49.0,15.0,10.0,4.0,10.0,22.0,0.4213483146067416,0.21348314606741567
30,118.0,42.0,85.0,49.4,16.0,38.0,42.1,18.0,23.0,78.3,10.0,25.0,35.0,25.0,9.0,7.0,17.0,19.0,0.5882352941176471,0.27058823529411763
31,113.0,42.0,89.0,47.2,17.0,39.0,43.6,12.0,17.0,70.6,12.0,28.0,40.0,21.0,9.0,1.0,15.0,22.0,0.5674157303370787,0.19101123595505615
32,108.0,33.0,86.0,38.4,12.0,32.0,37.5,30.0,32.0,93.8,16.0,28.0,44.0,22.0,7.0,3.0,6.0,23.0,0.4534883720930232,0.372093023255814
33,112.0,41.0,89.0,46.1,10.0,28.0,35.7,20.0,26.0,76.9,16.0,36.0,52.0,27.0,5.0,3.0,18.0,22.0,0.5168539325842697,0.2921348314606741
34,119.0,41.0,89.0,46.1,15.0,33.0,45.5,22.0,30.0,73.3,11.0,32.0,43.0,18.0,4.0,5.0,9.0,20.0,0.5449438202247191,0.33707865168539325
35,101.0,35.0,81.0,43.2,9.0,36.0,25.0,22.0,29.0,75.9,9.0,25.0,34.0,25.0,9.0,4.0,12.0,24.0,0.4876543209876543,0.3580246913580247
36,91.0,29.0,93.0,31.2,7.0,39.0,17.9,26.0,34.0,76.5,12.0,36.0,48.0,19.0,9.0,1.0,14.0,18.0,0.3494623655913979,0.3655913978494624
37,104.0,39.0,85.0,45.9,13.0,37.0,35.1,13.0,18.0,72.2,12.0,30.0,42.0,28.0,6.0,1.0,15.0,19.0,0.5352941176470588,0.21176470588235294
38,99.0,33.0,79.0,41.8,12.0,41.0,29.3,21.0,24.0,87.5,8.0,31.0,39.0,19.0,10.0,3.0,15.0,20.0,0.4936708860759494,0.3037974683544304
39,116.0,42.0,94.0,44.7,15.0,45.0,31.9,17.0,22.0,77.3,12.0,46.0,58.0,27.0,8.0,7.0,16.0,23.0,0.526595744680851,0.23404255319148934
40,124.0,44.0,89.0,49.4,8.0,24.0,33.3,28.0,31.0,90.3,10.0,49.0,61.5,26.0,4.0,4.0,8.0,22.0,0.5393258426966292,0.34831460674157305
41,89.0,33.0,79.0,41.8,6.0,24.0,25.0,17.0,20.0,85.0,5.0,32.0,37.0,19.0,6.0,5.0,19.0,26.0,0.4556962025316456,0.2531645569620253
42,98.0,36.0,98.0,36.7,10.0,37.0,27.0,16.0,30.0,53.3,13.0,30.0,43.0,19.0,6.0,5.0,6.0,23.0,0.4183673469387755,0.30612244897959184
43,125.0,40.0,82.0,48.8,16.0,40.0,40.0,29.0,33.0,87.9,6.0,36.0,42.0,22.0,12.0,2.0,10.0,18.0,0.5853658536585366,0.4024390243902439
44,101.0,34.0,90.0,37.8,9.0,41.0,22.0,24.0,30.0,80.0,9.0,42.0,51.0,25.0,3.0,5.0,10.0,20.0,0.42777777777777776,0.3333333333333333
45,108.0,42.0,90.0,46.7,8.0,33.0,24.2,16.0,23.0,69.6,8.0,35.0,43.0,24.0,6.0,2.0,11.0,21.0,0.5111111111111111,0.25555555555555554
46,112.0,39.0,89.0,43.8,17.0,45.0,34.0,17.0,24.0,70.8,13.0,37.0,50.0,18.0,6.0,6.0,13.0,23.0,0.5337078651685393,0.2696629213483146
47,113.0,44.0,100.0,44.0,8.0,37.0,21.6,17.0,25.0,68.0,11.0,45.0,56.0,25.0,4.0,5.0,7.0,25.0,0.48,0.25
48,116.0,40.0,92.0,43.5,11.0,25.0,44.0,25.0,28.0,89.3,17.0,28.0,45.0,21.0,7.0,4.0,8.0,22.0,0.4945652173913043,0.3043478260869565
49,96.0,33.0,82.0,40.2,12.0,38.0,31.6,18.0,25.0,72.0,11.0,32.0,43.0,22.0,8.0,6.0,12.0,23.0,0.475609756097561,0.3048780487804878
50,112.0,39.0,82.0,47.6,12.0,28.0,42.9,22.0,28.0,78.6,12.0,31.0,43.0,18.0,4.0,5.0,14.0,27.0,0.5487804878048781,0.3414634146341464
51,101.0,35.0,76.0,46.1,10.0,31.0,32.3,21.0,26.0,80.8,8.0,35.0,43.0,19.0,6.0,3.0,13.0,24.0,0.5263157894736842,0.34210526315789475
52,121.0,42.0,95.0,44.2,14.0,33.0,42.4,23.0,29.0,79.3,7.0,28.0,35.0,27.0,6.0,6.0,8.0,22.0,0.5157894736842106,0.30526315789473685
53,126.0,45.0,93.0,48.4,18.0,42.0,42.9,18.0,26.0,69.2,17.0,38.0,55.0,20.0,4.0,6.0,13.0,24.0,0.5806451612903226,0.27956989247311825
