,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,Target
0,0.833,0.4615384615384616,0.3956043956043956,0.3296703296703297,0.5061728395061729,0.03658536585365853,1.7857142857142858,0
1,0.885,0.4308510638297872,0.40425531914893614,0.2765957446808511,0.5384615384615384,0.024390243902439025,1.1333333333333333,0
2,0.8440000000000001,0.5909090909090909,0.42857142857142855,0.4155844155844156,0.4864864864864865,0.07692307692307693,2.5,1
3,0.727,0.5675675675675675,0.3648648648648649,0.2972972972972973,0.475,0.05333333333333334,2.0,1
4,0.722,0.5119047619047619,0.3690476190476191,0.21428571428571427,0.5408163265306123,0.023809523809523808,2.363636363636364,0
5,0.889,0.5517241379310345,0.4712643678160919,0.3103448275862069,0.5238095238095238,0.0625,2.9090909090909087,1
6,0.7,0.5612244897959183,0.4183673469387755,0.1020408163265306,0.40425531914893614,0.060606060606060615,2.583333333333333,0
7,0.8079999999999999,0.4754901960784314,0.4411764705882353,0.2549019607843137,0.4661016949152542,0.09803921568627452,1.6470588235294117,1
8,0.606,0.4647058823529412,0.4117647058823529,0.3882352941176471,0.4555555555555556,0.03571428571428571,2.0,0
9,0.743,0.5380434782608695,0.44565217391304346,0.3804347826086957,0.5698924731182796,0.045977011494252866,3.8571428571428568,1
10,0.778,0.5670731707317073,0.35365853658536583,0.32926829268292684,0.5747126436781609,0.10465116279069768,1.875,1
11,0.852,0.456989247311828,0.4731182795698925,0.2903225806451613,0.5660377358490566,0.11956521739130435,1.75,1
12,0.833,0.6011904761904762,0.3928571428571429,0.21428571428571427,0.4719101123595506,0.0963855421686747,2.142857142857143,1
13,0.718,0.3820224719101124,0.21348314606741567,0.4382022471910113,0.4811320754716981,0.0967741935483871,3.0,0
14,0.895,0.4213483146067416,0.33707865168539325,0.21348314606741567,0.5444444444444444,0.061538461538461535,1.5,1
15,0.706,0.5674157303370787,0.4382022471910113,0.19101123595505606,0.5333333333333333,0.011764705882352941,1.4,0
16,0.769,0.5168539325842697,0.3146067415730337,0.2921348314606741,0.6046511627906976,0.037037037037037035,1.5,1
17,0.733,0.5449438202247191,0.3707865168539326,0.33707865168539325,0.4942528735632184,0.05813953488372092,2.0,1
18,0.722,0.5352941176470588,0.4352941176470588,0.21176470588235294,0.5185185185185185,0.012658227848101266,1.8666666666666667,1
19,0.773,0.526595744680851,0.5,0.2340425531914893,0.5471698113207547,0.07526881720430108,1.6875,1
20,0.903,0.5393258426966292,0.2696629213483146,0.34831460674157305,0.5904761904761905,0.040816326530612235,3.25,1
21,0.879,0.5853658536585366,0.4878048780487805,0.4024390243902439,0.5316455696202531,0.02531645569620253,2.2,1
22,0.8,0.42777777777777776,0.4555555555555556,0.3333333333333333,0.4766355140186916,0.05,2.5,0
23,0.708,0.5337078651685393,0.5617977528089888,0.2696629213483146,0.5376344086021505,0.06666666666666668,1.3846153846153846,1
24,0.72,0.475609756097561,0.4634146341463415,0.3048780487804878,0.5,0.07894736842105263,1.8333333333333333,0
25,0.7859999999999999,0.5487804878048781,0.3414634146341464,0.3414634146341464,0.4886363636363637,0.05434782608695652,1.2857142857142858,0
26,0.6920000000000001,0.5806451612903226,0.4516129032258064,0.27956989247311825,0.6111111111111112,0.06315789473684211,1.5384615384615383,1
27,0.938,0.5308641975308642,0.4938271604938271,0.3950617283950617,0.5,0.03614457831325301,1.4117647058823528,0
28,0.857,0.4677419354838709,0.3387096774193548,0.2258064516129032,0.484375,0.04201680672268908,1.7692307692307692,1
29,0.87,0.5714285714285714,0.27380952380952384,0.27380952380952384,0.5625,0.0963855421686747,2.230769230769231,1
30,0.615,0.3775510204081632,0.2959183673469388,0.2653061224489796,0.5523809523809524,0.05882352941176471,2.2222222222222223,0
31,0.833,0.521978021978022,0.3956043956043956,0.2637362637362637,0.5232558139534884,0.06493506493506493,2.0,1
32,0.8059999999999999,0.5568181818181818,0.5340909090909091,0.3522727272727273,0.5408163265306123,0.04651162790697674,2.0,1
33,0.871,0.5802469135802469,0.3580246913580247,0.382716049382716,0.4594594594594595,0.08860759493670886,1.8333333333333333,1
34,0.867,0.4222222222222222,0.4111111111111111,0.16666666666666666,0.4090909090909091,0.05263157894736842,2.0,0
35,0.778,0.5533333333333333,0.2933333333333333,0.36,0.59375,0.040540540540540536,1.2,1
36,0.625,0.4213483146067416,0.4382022471910113,0.2696629213483146,0.4631578947368421,0.02298850574712644,1.9,0
37,0.7829999999999999,0.4090909090909091,0.2272727272727273,0.26136363636363635,0.5408163265306123,0.09411764705882353,3.5,1
38,0.708,0.5759493670886076,0.34177215189873417,0.3037974683544304,0.4597701149425287,0.06741573033707865,2.1,1
39,0.821,0.453125,0.3333333333333333,0.2916666666666667,0.5157894736842106,0.05617977528089888,1.5714285714285714,0
40,0.8240000000000001,0.6309523809523809,0.2857142857142857,0.2023809523809524,0.5256410256410257,0.07291666666666667,3.571428571428572,1
41,0.909,0.5260416666666666,0.40625,0.22916666666666666,0.4814814814814815,0.035294117647058816,3.875,0
42,0.682,0.5246913580246914,0.4567901234567901,0.2716049382716049,0.4946236559139785,0.1276595744680851,1.0,1
43,0.8,0.5897435897435898,0.4230769230769231,0.2564102564102564,0.5384615384615384,0.06666666666666668,1.9230769230769231,1
44,0.667,0.58,0.33,0.09,0.5773195876288659,0.03225806451612903,1.8421052631578947,1
45,0.652,0.5364583333333334,0.3645833333333333,0.2395833333333333,0.5357142857142857,0.05813953488372092,2.4444444444444446,1
46,0.857,0.5705882352941176,0.4235294117647059,0.2470588235294117,0.5,0.03614457831325301,2.4285714285714284,1
47,0.75,0.475,0.34,0.12,0.4,0.012658227848101266,2.6,0
48,0.846,0.4941860465116279,0.4069767441860465,0.3023255813953488,0.5977011494252874,0.08860759493670886,1.7142857142857142,1
49,0.857,0.4659090909090909,0.3181818181818182,0.3181818181818182,0.5,0.02564102564102564,1.5,0
50,0.75,0.50625,0.3875,0.4,0.4024390243902439,0.0449438202247191,2.2,0
51,0.773,0.4602272727272727,0.4545454545454545,0.25,0.4731182795698925,0.04444444444444445,1.6428571428571428,0
52,0.769,0.462962962962963,0.4074074074074074,0.16049382716049382,0.4303797468354431,0.02666666666666667,1.1764705882352942,0
