,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio,Target
8053,0.833,0.5714285714285714,0.2597402597402597,0.23376623376623376,0.5135135135135135,0.02531645569620253,0.9444444444444444,0
8054,0.643,0.5470588235294118,0.21176470588235294,0.32941176470588235,0.6021505376344086,0.09333333333333334,2.3,1
8055,0.6920000000000001,0.55625,0.2,0.325,0.575,0.06097560975609756,1.1666666666666667,1
8056,0.741,0.4911504424778761,0.2035398230088496,0.23893805309734514,0.4954128440366973,0.049504950495049514,2.272727272727273,1
8057,0.882,0.4943181818181818,0.25,0.19318181818181807,0.5121951219512195,0.02631578947368421,1.6666666666666667,0
8058,1.0,0.4947916666666667,0.3229166666666667,0.052083333333333336,0.4482758620689655,0.02564102564102564,2.2,0
8059,0.7,0.536144578313253,0.3373493975903614,0.24096385542168675,0.5063291139240507,0.06329113924050632,2.25,0
8060,0.895,0.4090909090909091,0.1948051948051948,0.24675324675324675,0.4878048780487805,0.0547945205479452,0.875,0
8061,0.731,0.4831460674157304,0.2921348314606741,0.2921348314606741,0.5494505494505495,0.04878048780487805,1.5625,1
8062,0.895,0.4715909090909091,0.26136363636363635,0.2159090909090909,0.4183673469387755,0.07865168539325842,1.1,0
8063,0.769,0.4662921348314607,0.3258426966292135,0.2921348314606741,0.5168539325842697,0.02298850574712644,1.8333333333333333,0
8064,0.727,0.6036585365853658,0.3048780487804878,0.2682926829268293,0.4507042253521127,0.06578947368421052,1.2222222222222223,1
8065,0.857,0.4868421052631579,0.1973684210526316,0.3684210526315789,0.5342465753424658,0.028985507246376805,1.1428571428571428,0
8066,0.737,0.5632183908045977,0.26436781609195403,0.2183908045977012,0.5280898876404494,0.06896551724137931,1.9333333333333331,1
8067,0.853,0.4885057471264368,0.26436781609195403,0.3908045977011495,0.5591397849462365,0.011494252873563218,2.333333333333333,1
8068,0.7390000000000001,0.5584415584415584,0.2727272727272727,0.2987012987012987,0.4324324324324325,0.013157894736842105,1.8333333333333333,1
8069,0.7,0.5759493670886076,0.3291139240506329,0.3797468354430379,0.5432098765432098,0.043478260869565216,1.7142857142857142,1
8070,0.862,0.5723684210526315,0.2368421052631579,0.3815789473684211,0.527027027027027,0.01282051282051282,1.75,1
8071,0.6,0.5121951219512195,0.18292682926829268,0.18292682926829268,0.4675324675324675,0.05128205128205128,3.4444444444444446,0
8072,0.846,0.4876543209876543,0.20987654320987653,0.32098765432098764,0.5128205128205128,0.07692307692307693,1.1875,0
8073,0.633,0.5166666666666667,0.3333333333333333,0.3333333333333333,0.6206896551724138,0.04395604395604396,1.5,1
8074,0.769,0.5273972602739726,0.2465753424657534,0.3561643835616438,0.5416666666666666,0.05194805194805195,1.75,1
8075,0.733,0.4404761904761905,0.2261904761904762,0.17857142857142858,0.4555555555555556,0.02564102564102564,1.7,0
8076,0.84,0.4457831325301205,0.26506024096385544,0.3012048192771085,0.4883720930232558,0.08450704225352113,1.6,0
8077,0.7859999999999999,0.5913978494623656,0.21505376344086025,0.15053763440860216,0.44943820224719105,0.09782608695652174,2.5,1
8078,0.649,0.4819277108433735,0.24096385542168675,0.4457831325301205,0.5111111111111111,0.0989010989010989,1.6666666666666667,1
8079,0.652,0.4494382022471911,0.24719101123595505,0.25842696629213485,0.5176470588235295,0.040540540540540536,2.1818181818181817,0
8080,1.0,0.6052631578947368,0.2236842105263158,0.2236842105263158,0.6056338028169014,0.05128205128205128,1.263157894736842,1
8081,0.6920000000000001,0.5328947368421053,0.2894736842105263,0.17105263157894735,0.4556962025316456,0.0547945205479452,1.263157894736842,1
8082,0.75,0.3630952380952381,0.2023809523809524,0.2380952380952381,0.4130434782608696,0.1139240506329114,1.8888888888888888,0
8083,0.667,0.5375,0.3875,0.375,0.4444444444444444,0.08,1.4117647058823528,1
8084,0.69,0.4842105263157895,0.2736842105263158,0.30526315789473685,0.4903846153846154,0.06521739130434782,1.3333333333333333,0
8085,0.9520000000000001,0.43506493506493504,0.3116883116883117,0.2727272727272727,0.5057471264367817,0.0547945205479452,0.9444444444444444,0
8086,0.88,0.6,0.3333333333333333,0.3333333333333333,0.43478260869565216,0.060240963855421686,2.25,1
8087,0.667,0.3953488372093023,0.20930232558139536,0.313953488372093,0.4777777777777778,0.02631578947368421,0.7647058823529411,0
8088,0.6920000000000001,0.4383561643835616,0.2465753424657534,0.1780821917808219,0.4302325581395349,0.1176470588235294,0.9411764705882352,0
8089,0.647,0.4882352941176471,0.25882352941176473,0.2,0.4705882352941176,0.04878048780487805,1.4666666666666666,0
8090,0.84,0.5138888888888888,0.2638888888888889,0.3472222222222222,0.4659090909090909,0.08433734939759037,1.6428571428571428,1
8091,0.8059999999999999,0.46875,0.1125,0.3875,0.4712643678160919,0.06741573033707865,3.0,1
8092,0.75,0.569620253164557,0.21518987341772156,0.1518987341772152,0.5128205128205128,0.012987012987012988,1.5,1
8093,0.8,0.48,0.2933333333333333,0.2,0.4324324324324325,0.05128205128205128,1.1666666666666667,0
8094,0.76,0.5568181818181818,0.18181818181818185,0.2840909090909091,0.4390243902439024,0.05681818181818181,1.8333333333333333,1
8095,0.875,0.4941860465116279,0.22093023255813954,0.2790697674418605,0.475609756097561,0.02469135802469136,1.75,0
8096,0.765,0.4802631578947368,0.3026315789473684,0.4473684210526316,0.5473684210526316,0.060606060606060615,1.0,0
8097,0.818,0.4764705882352941,0.35294117647058826,0.25882352941176473,0.5217391304347826,0.08433734939759037,2.1,1
8098,0.7809999999999999,0.4404761904761905,0.2976190476190476,0.3809523809523809,0.57,0.04819277108433735,1.3333333333333333,1
8099,0.867,0.4036144578313253,0.24096385542168675,0.18072289156626506,0.5116279069767442,0.08108108108108109,1.4285714285714286,0
8100,0.727,0.5675675675675675,0.35135135135135137,0.2972972972972973,0.4358974358974359,0.023529411764705882,1.4210526315789471,1
8101,0.643,0.4293478260869565,0.29347826086956524,0.15217391304347827,0.46875,0.03571428571428571,1.5833333333333333,0
8102,0.85,0.5542168674698795,0.26506024096385544,0.24096385542168675,0.5512820512820513,0.0410958904109589,2.4166666666666665,1
8103,0.7140000000000001,0.4943181818181818,0.2159090909090909,0.23863636363636365,0.4659090909090909,0.06896551724137931,2.5,1
8104,0.909,0.5324675324675324,0.18181818181818185,0.2857142857142857,0.5342465753424658,0.038461538461538464,1.6666666666666667,1
8105,0.769,0.608433734939759,0.3373493975903614,0.1566265060240964,0.4473684210526316,0.057471264367816084,1.875,0
8106,0.81,0.49375,0.25,0.2625,0.5131578947368421,0.06756756756756757,2.0,1
8107,0.846,0.4931506849315068,0.2602739726027397,0.3561643835616438,0.5131578947368421,0.05,1.2777777777777777,0
8108,0.75,0.4457831325301205,0.3855421686746988,0.2891566265060241,0.5421686746987951,0.012658227848101266,1.1333333333333333,0
8109,0.7140000000000001,0.6,0.26666666666666666,0.37333333333333335,0.5384615384615384,0.024390243902439025,1.7692307692307692,1
8110,0.821,0.3465909090909091,0.2159090909090909,0.3181818181818182,0.5054945054945055,0.0125,0.7894736842105263,0
8111,0.85,0.3917525773195876,0.15463917525773194,0.20618556701030927,0.5161290322580645,0.07407407407407407,1.4,0
8112,0.7040000000000001,0.5362318840579711,0.3478260869565217,0.39130434782608703,0.5512820512820513,0.07317073170731707,0.6666666666666666,1
8113,0.7140000000000001,0.3987341772151899,0.16455696202531644,0.35443037974683544,0.5212765957446809,0.023529411764705882,0.6111111111111112,0
8114,0.643,0.4823529411764706,0.17647058823529413,0.16470588235294115,0.4888888888888889,0.03571428571428571,2.6666666666666665,0
8115,0.5329999999999999,0.4642857142857143,0.2857142857142857,0.17857142857142858,0.4883720930232558,0.03448275862068965,1.8461538461538465,0
