,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio,Target
0,83.3,0.4615384615384616,0.3956043956043956,0.3296703296703297,0.5061728395061729,0.036585365853658534,1.7857142857142858,95.2,0.6280487804878049,0.4634146341463415,0.25609756097560976,0.49382716049382713,0.10989010989010989,2.142857142857143,-14
1,88.5,0.4308510638297872,0.40425531914893614,0.2765957446808511,0.5384615384615384,0.024390243902439025,1.1333333333333333,87.0,0.5426829268292683,0.4146341463414634,0.2804878048780488,0.46153846153846156,0.05319148936170213,2.2666666666666666,-5
2,84.4,0.5909090909090909,0.42857142857142855,0.4155844155844156,0.4864864864864865,0.07692307692307693,2.5,93.5,0.5128205128205128,0.3974358974358974,0.3974358974358974,0.5135135135135135,0.025974025974025976,1.8125,9
3,72.7,0.5675675675675675,0.36486486486486486,0.2972972972972973,0.475,0.05333333333333334,2.0,71.0,0.48,0.4533333333333333,0.4133333333333333,0.525,0.0945945945945946,1.7272727272727273,6
4,72.2,0.5119047619047619,0.36904761904761907,0.21428571428571427,0.5408163265306123,0.023809523809523808,2.3636363636363638,80.6,0.4761904761904762,0.5119047619047619,0.3690476190476191,0.45918367346938777,0.047619047619047616,3.1666666666666665,-6
5,88.9,0.5517241379310345,0.47126436781609193,0.3103448275862069,0.5238095238095238,0.0625,2.909090909090909,65.4,0.53125,0.4375,0.325,0.47619047619047616,0.08045977011494253,2.5,18
6,70.0,0.5612244897959183,0.41836734693877553,0.1020408163265306,0.40425531914893614,0.06060606060606061,2.5833333333333335,78.9,0.5252525252525253,0.3939393939393939,0.1919191919191919,0.5957446808510638,0.05102040816326531,2.0,-2
7,80.8,0.4754901960784314,0.4411764705882353,0.2549019607843137,0.4661016949152542,0.09803921568627451,1.6470588235294117,66.7,0.4411764705882353,0.43137254901960786,0.3235294117647059,0.5338983050847458,0.049019607843137254,1.1,6
8,60.6,0.4647058823529412,0.4117647058823529,0.3882352941176471,0.45555555555555555,0.03571428571428571,2.0,87.0,0.5357142857142857,0.30952380952380953,0.27380952380952384,0.5444444444444444,0.058823529411764705,2.076923076923077,-11
9,74.3,0.5380434782608695,0.44565217391304346,0.3804347826086957,0.5698924731182796,0.04597701149425287,3.857142857142857,76.0,0.4827586206896552,0.367816091954023,0.28735632183908044,0.43010752688172044,0.06521739130434782,1.4615384615384615,22
10,77.8,0.5670731707317073,0.35365853658536583,0.32926829268292684,0.5747126436781609,0.10465116279069768,1.875,94.4,0.5465116279069767,0.45348837209302323,0.20930232558139536,0.42528735632183906,0.012195121951219513,1.7692307692307692,3
11,85.2,0.45698924731182794,0.4731182795698925,0.2903225806451613,0.5660377358490566,0.11956521739130435,1.75,85.0,0.4510869565217392,0.45652173913043476,0.21739130434782608,0.4339622641509434,0.043010752688172046,1.4166666666666667,8
12,83.3,0.6011904761904762,0.39285714285714285,0.21428571428571427,0.47191011235955055,0.0963855421686747,2.142857142857143,87.1,0.4036144578313253,0.3373493975903614,0.3734939759036144,0.5280898876404494,0.05952380952380952,1.0,22
13,71.8,0.3820224719101124,0.21348314606741572,0.4382022471910113,0.4811320754716981,0.0967741935483871,3.0,83.3,0.4301075268817205,0.27956989247311825,0.25806451612903225,0.5188679245283019,0.07865168539325842,4.0,-4
14,89.5,0.4213483146067416,0.33707865168539325,0.21348314606741567,0.5444444444444444,0.06153846153846154,1.5,83.3,0.5,0.4153846153846154,0.4615384615384616,0.45555555555555555,0.07865168539325842,1.0666666666666667,2
15,70.6,0.5674157303370787,0.43820224719101125,0.19101123595505612,0.5333333333333333,0.011764705882352941,1.4,78.3,0.5882352941176471,0.4470588235294118,0.27058823529411763,0.4666666666666667,0.07865168539325842,1.4705882352941178,-5
16,76.9,0.5168539325842697,0.3146067415730337,0.2921348314606741,0.6046511627906976,0.037037037037037035,1.5,75.9,0.4876543209876543,0.4444444444444444,0.3580246913580247,0.3953488372093023,0.0449438202247191,2.0833333333333335,11
17,73.3,0.5449438202247191,0.3707865168539326,0.33707865168539325,0.4942528735632184,0.05813953488372093,2.0,93.8,0.4534883720930232,0.37209302325581395,0.37209302325581395,0.5057471264367817,0.033707865168539325,3.6666666666666665,11
