,DATE,MATCHUP,MIN,H_TEAM,A_TEAM,H_FGPct,H_ThreePPct,H_FTPct,H_EFGPct,H_FTR,H_TOVPct,H_DREBPct,H_OREBPct,H_REBPct,H_BLKPct,H_ASTRatio,H_AST_TOV_Ratio,A_FGPct,A_ThreePPct,A_FTPct,A_EFGPct,A_FTR,A_TOVPct,A_DREBPct,A_OREBPct,A_REBPct,A_BLKPct,A_ASTRatio,A_AST_TOV_Ratio,Target
0,6/5/19,GSW vs. TOR,241,GSW,TOR,39.6,33.3,83.3,0.4615384615384616,0.3296703296703297,11.844331641285956,0.8484848484848485,0.2708333333333333,0.5061728395061729,0.036585365853658534,0.1745810055865922,1.7857142857142858,52.4,44.7,95.2,0.6280487804878049,0.25609756097560976,13.302926643861651,0.7291666666666666,0.15151515151515152,0.49382716049382713,0.10989010989010989,0.22182786157941436,2.142857142857143,0
1,6/2/19,TOR vs. GSW,240,TOR,GSW,37.2,28.9,88.5,0.4308510638297872,0.2765957446808511,12.454334108269679,0.85,0.29411764705882354,0.5384615384615384,0.024390243902439025,0.12369033760186263,1.1333333333333333,46.3,38.2,87.0,0.5426829268292683,0.2804878048780488,14.00298730395818,0.7058823529411765,0.15,0.46153846153846156,0.05319148936170213,0.24092970521541948,2.2666666666666666,0
2,5/30/19,TOR vs. GSW,241,TOR,GSW,50.6,39.4,84.4,0.5909090909090909,0.4155844155844156,9.893153937475267,0.7631578947368421,0.19444444444444445,0.4864864864864865,0.07692307692307693,0.19828680203045684,2.5,43.6,38.7,93.5,0.5128205128205128,0.3974358974358974,14.864362690449648,0.8055555555555556,0.23684210526315788,0.5135135135135135,0.025974025974025976,0.21223653395784545,1.8125,1
3,5/25/19,TOR vs. MIL,239,TOR,MIL,48.6,44.4,72.7,0.5675675675675675,0.2972972972972973,10.67463706233988,0.7272727272727273,0.16666666666666666,0.475,0.05333333333333334,0.17593244194229415,2.0,40.0,35.3,71.0,0.48,0.4133333333333333,11.039743075070255,0.8333333333333334,0.2727272727272727,0.525,0.0945945945945946,0.16014834794335805,1.7272727272727273,1
4,5/23/19,MIL vs. TOR,240,MIL,TOR,45.2,32.3,72.2,0.5119047619047619,0.21428571428571427,10.687912942090943,0.8181818181818182,0.18604651162790697,0.5408163265306123,0.023809523809523808,0.20167545764815387,2.3636363636363638,36.9,41.9,80.6,0.4761904761904762,0.3690476190476191,5.78927055191046,0.813953488372093,0.18181818181818182,0.45918367346938777,0.047619047619047616,0.15492498369210697,3.1666666666666665,0
5,5/21/19,TOR vs. MIL,239,TOR,MIL,47.1,34.1,88.9,0.5517241379310345,0.3103448275862069,10.010921004732436,0.8292682926829268,0.23255813953488372,0.5238095238095238,0.0625,0.22554271215111363,2.909090909090909,46.3,31.4,65.4,0.53125,0.325,11.600928074245939,0.7674418604651163,0.17073170731707318,0.47619047619047616,0.08045977011494253,0.22482014388489208,2.5,1
6,5/20/19,POR vs. GSW,265,POR,GSW,48.0,39.0,70.0,0.5612244897959183,0.1020408163265306,10.48951048951049,0.6808510638297872,0.1276595744680851,0.40425531914893614,0.06060606060606061,0.21320495185694635,2.5833333333333335,46.5,30.8,78.9,0.5252525252525253,0.1919191919191919,12.258908139915006,0.8723404255319149,0.3191489361702128,0.5957446808510638,0.05102040816326531,0.1969020740351798,2.0,0
7,5/19/19,TOR vs. MIL,290,TOR,MIL,39.2,37.8,80.8,0.4754901960784314,0.2549019607843137,13.032812020852498,0.7833333333333333,0.13793103448275862,0.4661016949152542,0.09803921568627451,0.17672304973491543,1.6470588235294117,37.3,31.8,66.7,0.4411764705882353,0.3235294117647059,14.64986815118664,0.8620689655172413,0.21666666666666667,0.5338983050847458,0.049019607843137254,0.1387837496845824,1.1,1
8,5/18/19,POR vs. GSW,239,POR,GSW,40.0,31.4,60.6,0.4647058823529412,0.3882352941176471,9.952949692363372,0.8157894736842105,0.19230769230769232,0.45555555555555555,0.03571428571428571,0.16601267733172353,2.0,48.8,30.8,87.0,0.5357142857142857,0.27380952380952384,12.135922330097088,0.8076923076923077,0.18421052631578946,0.5444444444444444,0.058823529411764705,0.20131225767968983,2.076923076923077,0
9,5/17/19,MIL vs. TOR,240,MIL,TOR,46.7,31.7,74.3,0.5380434782608695,0.3804347826086957,6.118881118881117,0.875,0.24444444444444444,0.5698924731182796,0.04597701149425287,0.19094766619519093,3.857142857142857,42.5,31.3,76.0,0.4827586206896552,0.28735632183908044,11.711711711711711,0.7555555555555555,0.125,0.43010752688172044,0.06521739130434782,0.14615384615384616,1.4615384615384615,1
