TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
DET,1/17/18,DET @ TOR,L,240,91,37,88,42,10,28,35.7,7,15,46.7,11,31,42,22,14,7,14,20,-5,,,,,,,,,,
GSW,1/17/18,GSW @ CHI,W,240,119,42,84,50,13,33,39.4,22,25,88,5,44,49,24,5,3,15,16,7,,,,,,,,,,
LAC,1/17/18,LAC vs. DEN,W,241,109,40,87,46,10,30,33.3,19,31,61.3,17,31,48,22,10,5,20,16,5,,,,,,,,,,
LAL,1/17/18,LAL @ OKC,L,239,90,38,81,46.9,10,26,38.5,4,4,100,6,24,30,25,9,1,16,15,-24,,,,,,,,,,
MEM,1/17/18,MEM vs. NYK,W,241,105,41,91,45.1,10,28,35.7,13,17,76.5,15,29,44,23,9,3,11,19,6,,,,,,,,,,
MIA,1/17/18,MIA @ MIL,W,241,106,38,82,46.3,10,24,41.7,20,27,74.1,10,36,46,28,4,7,15,28,5,,,,,,,,,,
MIL,1/17/18,MIL vs. MIA,L,239,101,33,76,43.4,11,28,39.3,24,32,75,5,33,38,23,6,4,9,25,-5,,,,,,,,,,
NOP,1/17/18,NOP @ ATL,L,239,93,35,80,43.8,10,27,37,13,19,68.4,9,34,43,27,5,6,12,20,-1,,,,,,,,,,
NYK,1/17/18,NYK @ MEM,L,241,99,35,82,42.7,7,27,25.9,22,23,95.7,12,33,45,22,5,12,14,15,-6,,,,,,,,,,
OKC,1/17/18,OKC vs. LAL,W,240,114,46,95,48.4,12,35,34.3,10,12,83.3,21,33,54,22,10,6,16,14,24,,,,,,,,,,
SAC,1/17/18,SAC vs. UTA,L,241,105,38,72,52.8,13,21,61.9,16,20,80,8,28,36,19,9,4,19,21,-15,,,,,,,,,,
SAS,1/17/18,SAS @ BKN,W,241,100,34,82,41.5,9,19,47.4,23,31,74.2,7,35,42,24,8,4,9,20,5,,,,,,,,,,
TOR,1/17/18,TOR vs. DET,W,240,96,34,80,42.5,11,31,35.5,17,23,73.9,12,37,49,24,6,8,20,20,5,,,,,,,,,,
UTA,1/17/18,UTA @ SAC,W,239,120,46,81,56.8,12,29,41.4,16,20,80,6,23,29,26,15,4,10,20,15,,,,,,,,,,
WAS,1/17/18,WAS @ CHA,L,241,109,40,82,48.8,13,23,56.5,16,23,69.6,7,33,40,31,3,7,16,23,-24,,,,,,,,,,
BOS,1/16/18,BOS vs. NOP,L,266,113,40,101,39.6,19,50,38,14,16,87.5,12,41,53,27,7,3,18,24,-3,,,,,,,,,,
DAL,1/16/18,DAL @ DEN,L,239,102,38,78,48.7,8,27,29.6,18,22,81.8,5,30,35,17,10,3,16,24,-3,,,,,,,,,,
DEN,1/16/18,DEN vs. DAL,W,238,105,40,86,46.5,8,26,30.8,17,26,65.4,15,32,47,23,10,3,18,23,3,,,,,,,,,,
MIN,1/16/18,MIN @ ORL,L,239,102,43,98,43.9,7,16,43.8,9,10,90,11,26,37,19,10,9,7,21,-6,,,,,,,,,,
NOP,1/16/18,NOP @ BOS,W,266,116,45,100,45,7,27,25.9,19,25,76,13,42,55,28,11,6,15,14,3,,,,,,,,,,
ORL,1/16/18,ORL vs. MIN,W,241,108,40,90,44.4,11,31,35.5,17,19,89.5,15,36,51,24,4,10,16,15,6,,,,,,,,,,
PHX,1/16/18,PHX @ POR,L,240,111,37,89,41.6,16,41,39,21,22,95.5,12,31,43,21,6,3,13,15,-7,,,,,,,,,,
POR,1/16/18,POR vs. PHX,W,239,118,46,91,50.5,17,35,48.6,9,10,90,9,34,43,21,7,6,9,16,7,,,,,,,,,,
ATL,1/15/18,ATL vs. SAS,W,240,102,40,86,46.5,9,25,36,13,14,92.9,11,39,50,23,8,2,15,23,3,,,,,,,,,,
BKN,1/15/18,BKN vs. NYK,L,239,104,32,87,36.8,11,32,34.4,29,36,80.6,11,34,45,16,5,3,11,23,-15,,,,,,,,,,
CHA,1/15/18,CHA @ DET,W,240,118,43,84,51.2,10,21,47.6,22,33,66.7,9,40,49,21,9,4,15,11,11,,,,,,,,,,
CHI,1/15/18,CHI vs. MIA,W,240,119,42,88,47.7,16,39,41,19,22,86.4,7,38,45,27,6,2,9,23,8,,,,,,,,,,
CLE,1/15/18,CLE vs. GSW,L,239,108,43,94,45.7,7,28,25,15,22,68.2,12,31,43,26,9,5,15,22,-10,,,,,,,,,,
DET,1/15/18,DET vs. CHA,L,240,107,42,86,48.8,15,29,51.7,8,11,72.7,3,35,38,27,10,5,16,24,-11,,,,,,,,,,
GSW,1/15/18,GSW @ CLE,W,240,118,41,85,48.2,12,32,37.5,24,30,80,13,35,48,33,8,6,16,23,10,,,,,,,,,,
HOU,1/15/18,HOU @ LAC,L,240,102,38,94,40.4,13,44,29.5,13,16,81.3,13,24,37,21,9,4,12,21,-11,,,,,,,,,,
IND,1/15/18,IND @ UTA,W,241,109,41,77,53.2,14,26,53.8,13,15,86.7,8,35,43,26,7,2,14,18,15,,,,,,,,,,
LAC,1/15/18,LAC vs. HOU,W,240,113,44,79,55.7,10,25,40,15,20,75,4,37,41,30,6,10,18,17,11,,,,,,,,,,
LAL,1/15/18,LAL @ MEM,L,240,114,38,96,39.6,12,35,34.3,26,31,83.9,12,32,44,25,11,8,13,23,-9,,,,,,,,,,
MEM,1/15/18,MEM vs. LAL,W,241,123,42,82,51.2,10,22,45.5,29,34,85.3,6,42,48,24,8,8,18,26,9,,,,,,,,,,
MIA,1/15/18,MIA @ CHI,L,240,111,40,84,47.6,12,36,33.3,19,24,79.2,4,36,40,35,5,4,14,19,-8,,,,,,,,,,
MIL,1/15/18,MIL @ WAS,W,240,104,38,81,46.9,8,16,50,20,29,69,15,29,44,21,14,6,17,25,9,,,,,,,,,,
NYK,1/15/18,NYK @ BKN,W,240,119,42,82,51.2,9,16,56.3,26,37,70.3,8,43,51,27,5,10,9,24,15,,,,,,,,,,
OKC,1/15/18,OKC vs. SAC,W,239,95,36,86,41.9,9,30,30,14,29,48.3,18,41,59,20,10,6,18,19,7,,,,,,,,,,
PHI,1/15/18,PHI vs. TOR,W,241,117,40,81,49.4,6,25,24,31,38,81.6,10,38,48,22,8,9,21,28,6,,,,,,,,,,
SAC,1/15/18,SAC @ OKC,L,239,88,33,84,39.3,7,30,23.3,15,25,60,6,31,37,22,13,0,13,28,-7,,,,,,,,,,
SAS,1/15/18,SAS @ ATL,L,238,99,37,87,42.5,8,22,36.4,17,20,85,8,29,37,24,12,5,9,13,-3,,,,,,,,,,
TOR,1/15/18,TOR @ PHI,L,240,111,38,95,40,9,32,28.1,26,30,86.7,12,32,44,20,8,1,15,31,-6,,,,,,,,,,
UTA,1/15/18,UTA vs. IND,L,240,94,36,81,44.4,9,33,27.3,13,17,76.5,9,29,38,11,11,7,13,12,-15,,,,,,,,,,
WAS,1/15/18,WAS vs. MIL,L,240,95,32,76,42.1,6,21,28.6,25,31,80.6,11,28,39,19,10,8,23,22,-9,,,,,,,,,,
IND,1/14/18,IND @ PHX,W,240,120,48,88,54.5,11,23,47.8,13,14,92.9,8,34,42,20,9,1,6,22,23,,,,,,,,,,
MIA,1/14/18,MIA vs. MIL,W,240,97,35,76,46.1,11,29,37.9,16,20,80,3,46,49,23,8,8,13,18,18,,,,,,,,,,
MIL,1/14/18,MIL @ MIA,L,239,79,25,79,31.6,4,28,14.3,25,27,92.6,8,32,40,9,8,1,15,23,-18,,,,,,,,,,
MIN,1/14/18,MIN vs. POR,W,241,120,43,80,53.8,7,19,36.8,27,33,81.8,7,31,38,21,12,3,11,17,17,,,,,,,,,,
NOP,1/14/18,NOP @ NYK,W,265,123,45,95,47.4,9,32,28.1,24,34,70.6,12,34,46,19,17,7,19,17,5,,,,,,,,,,
NYK,1/14/18,NYK vs. NOP,L,265,118,46,97,47.4,12,34,35.3,14,18,77.8,10,34,44,28,12,7,22,27,-5,,,,,,,,,,
PHX,1/14/18,PHX vs. IND,L,239,97,35,85,41.2,9,37,24.3,18,24,75,14,31,45,20,2,1,12,16,-23,,,,,,,,,,
POR,1/14/18,POR @ MIN,L,241,103,39,79,49.4,11,25,44,14,17,82.4,8,30,38,19,6,3,17,27,-17,,,,,,,,,,
BKN,1/13/18,BKN @ WAS,L,264,113,42,99,42.4,12,43,27.9,17,20,85,13,34,47,28,6,3,15,22,-6,,,,,,,,,,
CHA,1/13/18,CHA vs. OKC,L,242,91,33,83,39.8,9,28,32.1,16,23,69.6,9,41,50,16,3,7,14,15,-10,,,,,,,,,,
CHI,1/13/18,CHI vs. DET,W,239,107,42,87,48.3,17,36,47.2,6,9,66.7,6,34,40,27,10,8,14,11,2,,,,,,,,,,
DAL,1/13/18,DAL vs. LAL,L,266,101,34,90,37.8,11,43,25.6,22,28,78.6,4,35,39,20,5,1,8,17,-6,,,,,,,,,,
DEN,1/13/18,DEN @ SAS,L,237,80,29,83,34.9,7,28,25,15,17,88.2,11,30,41,18,9,4,15,16,-32,,,,,,,,,,
DET,1/13/18,DET @ CHI,L,240,105,41,92,44.6,12,29,41.4,11,14,78.6,13,32,45,28,8,7,12,11,-2,,,,,,,,,,
GSW,1/13/18,GSW @ TOR,W,239,127,47,81,58,9,24,37.5,24,28,85.7,3,27,30,28,4,3,6,20,2,,,,,,,,,,
LAC,1/13/18,LAC vs. SAC,W,240,126,46,82,56.1,12,31,38.7,22,26,84.6,5,34,39,29,11,5,15,22,21,,,,,,,,,,
LAL,1/13/18,LAL @ DAL,W,265,107,43,95,45.3,8,26,30.8,13,18,72.2,11,48,59,24,4,0,14,31,6,,,,,,,,,,
OKC,1/13/18,OKC @ CHA,W,239,101,39,97,40.2,8,26,30.8,15,20,75,19,38,57,17,8,9,9,22,10,,,,,,,,,,
SAC,1/13/18,SAC @ LAC,L,238,105,43,85,50.6,6,17,35.3,13,22,59.1,10,27,37,26,12,4,16,24,-21,,,,,,,,,,
SAS,1/13/18,SAS vs. DEN,W,238,112,41,79,51.9,14,27,51.9,16,18,88.9,6,37,43,23,9,3,15,17,32,,,,,,,,,,
TOR,1/13/18,TOR vs. GSW,L,241,125,45,93,48.4,8,25,32,27,32,84.4,14,30,44,22,3,2,10,23,-2,,,,,,,,,,
WAS,1/13/18,WAS vs. BKN,W,265,119,46,93,49.5,10,23,43.5,17,23,73.9,6,41,47,31,10,3,15,19,6,,,,,,,,,,
ATL,1/12/18,ATL vs. BKN,L,241,105,37,80,46.3,11,28,39.3,20,26,76.9,8,38,46,21,6,3,18,25,-5,,,,,,,,,,
BKN,1/12/18,BKN @ ATL,W,240,110,40,87,46,13,34,38.2,17,26,65.4,13,30,43,29,8,1,14,24,5,,,,,,,,,,
CHA,1/12/18,CHA vs. UTA,W,241,99,32,78,41,9,27,33.3,26,34,76.5,8,38,46,17,8,2,12,19,11,,,,,,,,,,
CLE,1/12/18,CLE @ IND,L,240,95,37,85,43.5,7,34,20.6,14,19,73.7,9,37,46,19,12,5,11,15,-2,,,,,,,,,,
DEN,1/12/18,DEN vs. MEM,W,240,87,27,70,38.6,7,22,31.8,26,32,81.3,12,35,47,15,8,3,14,18,9,,,,,,,,,,
GSW,1/12/18,GSW @ MIL,W,240,108,44,79,55.7,5,15,33.3,15,18,83.3,10,33,43,28,7,3,11,13,14,,,,,,,,,,
HOU,1/12/18,HOU @ PHX,W,241,112,39,94,41.5,15,47,31.9,19,22,86.4,14,39,53,18,11,4,11,14,17,,,,,,,,,,
IND,1/12/18,IND vs. CLE,W,239,97,39,85,45.9,10,21,47.6,9,12,75,6,38,44,16,5,4,14,18,2,,,,,,,,,,
MEM,1/12/18,MEM @ DEN,L,241,78,30,77,39,7,24,29.2,11,14,78.6,8,28,36,17,8,5,14,28,-9,,,,,,,,,,
MIL,1/12/18,MIL vs. GSW,L,241,94,36,85,42.4,11,28,39.3,11,12,91.7,8,25,33,21,9,6,12,20,-14,,,,,,,,,,
MIN,1/12/18,MIN vs. NYK,W,240,118,49,95,51.6,10,27,37,10,16,62.5,16,27,43,33,12,4,12,12,10,,,,,,,,,,
NOP,1/12/18,NOP vs. POR,W,241,119,45,82,54.9,7,19,36.8,22,23,95.7,9,34,43,26,7,6,18,16,6,,,,,,,,,,
NYK,1/12/18,NYK @ MIN,L,240,108,45,83,54.2,12,24,50,6,9,66.7,9,27,36,25,6,6,16,17,-10,,,,,,,,,,
ORL,1/12/18,ORL @ WAS,L,240,119,41,80,51.3,12,29,41.4,25,31,80.6,12,28,40,32,7,3,15,21,-6,,,,,,,,,,
PHX,1/12/18,PHX vs. HOU,L,240,95,37,80,46.3,14,33,42.4,7,9,77.8,4,34,38,27,5,3,19,19,-17,,,,,,,,,,
POR,1/12/18,POR @ NOP,L,242,113,45,101,44.6,12,42,28.6,11,14,78.6,14,25,39,24,13,6,11,22,-6,,,,,,,,,,
UTA,1/12/18,UTA @ CHA,L,241,88,28,77,36.4,12,35,34.3,20,23,87,8,37,45,19,5,8,14,26,-11,,,,,,,,,,
WAS,1/12/18,WAS vs. ORL,W,240,125,54,95,56.8,4,16,25,13,19,68.4,14,27,41,26,9,6,11,22,6,,,,,,,,,,
BOS,1/11/18,BOS @ PHI,W,240,114,43,89,48.3,13,35,37.1,15,19,78.9,11,35,46,24,11,2,18,18,11,,,,,,,,,,
CLE,1/11/18,CLE @ TOR,L,241,99,34,89,38.2,6,26,23.1,25,30,83.3,9,26,35,18,3,4,9,16,-34,,,,,,,,,,
LAC,1/11/18,LAC @ SAC,W,241,121,43,84,51.2,13,31,41.9,22,30,73.3,8,31,39,28,9,5,17,19,6,,,,,,,,,,
LAL,1/11/18,LAL vs. SAS,W,240,93,36,87,41.4,13,38,34.2,8,14,57.1,12,35,47,22,15,4,15,17,12,,,,,,,,,,
PHI,1/11/18,PHI vs. BOS,L,240,103,38,82,46.3,11,28,39.3,16,18,88.9,3,34,37,20,12,4,19,19,-11,,,,,,,,,,
SAC,1/11/18,SAC vs. LAC,L,240,115,42,85,49.4,8,26,30.8,23,28,82.1,10,34,44,23,9,3,15,25,-6,,,,,,,,,,
SAS,1/11/18,SAS @ LAL,L,241,81,31,76,40.8,8,20,40,11,15,73.3,7,38,45,21,6,5,20,15,-12,,,,,,,,,,
TOR,1/11/18,TOR vs. CLE,W,242,133,53,106,50,18,42,42.9,9,13,69.2,18,45,63,31,3,7,9,25,34,,,,,,,,,,
ATL,1/10/18,ATL @ DEN,W,239,110,40,80,50,12,27,44.4,18,18,100,6,38,44,25,6,4,16,23,13.4,,,,,,,,,,
BKN,1/10/18,BKN vs. DET,L,240,80,27,74,36.5,12,37,32.4,14,15,93.3,2,33,35,19,11,2,17,11,-34,,,,,,,,,,
CHA,1/10/18,CHA vs. DAL,L,241,111,43,84,51.2,10,26,38.5,15,30,50,4,39,43,16,6,5,11,22,-4,,,,,,,,,,
CHI,1/10/18,CHI @ NYK,W,289,122,45,98,45.9,15,33,45.5,17,20,85,10,38,48,21,10,5,16,19,3,,,,,,,,,,
DAL,1/10/18,DAL @ CHA,W,240,115,39,83,47,15,36,41.7,22,28,78.6,3,36,39,23,7,7,8,22,4,,,,,,,,,,
DEN,1/10/18,DEN vs. ATL,L,240,97,38,95,40,9,37,24.3,12,20,60,14,26,40,27,13,6,12,18,-13.2,,,,,,,,,,
DET,1/10/18,DET @ BKN,W,240,114,48,93,51.6,10,21,47.6,8,12,66.7,11,43,54,24,10,4,13,14,34,,,,,,,,,,
GSW,1/10/18,GSW vs. LAC,L,239,106,38,79,48.1,8,23,34.8,22,26,84.6,4,29,33,26,9,6,16,21,-19,,,,,,,,,,
HOU,1/10/18,HOU vs. POR,W,240,121,45,100,45,12,38,31.6,19,25,76,17,32,49,25,7,5,13,30,9,,,,,,,,,,
IND,1/10/18,IND vs. MIA,L,239,106,43,87,49.4,1,18,5.6,19,29,65.5,12,33,45,13,7,3,14,23,-8,,,,,,,,,,
LAC,1/10/18,LAC @ GSW,W,240,125,46,94,48.9,11,24,45.8,22,28,78.6,11,35,46,24,9,3,14,19,19,,,,,,,,,,
MEM,1/10/18,MEM vs. NOP,W,241,105,37,88,42,5,19,26.3,26,32,81.3,14,36,50,21,7,5,9,26,3,,,,,,,,,,
MIA,1/10/18,MIA @ IND,W,240,114,43,81,53.1,13,30,43.3,15,21,71.4,6,31,37,25,6,6,15,25,8,,,,,,,,,,
MIL,1/10/18,MIL vs. ORL,W,241,110,45,82,54.9,4,19,21.1,16,25,64,11,36,47,20,4,9,14,21,7,,,,,,,,,,
MIN,1/10/18,MIN vs. OKC,W,241,104,39,80,48.8,7,20,35,19,27,70.4,11,34,45,22,11,5,14,22,16,,,,,,,,,,
NOP,1/10/18,NOP @ MEM,L,240,102,34,77,44.2,11,35,31.4,23,34,67.6,9,31,40,20,5,7,12,26,-3,,,,,,,,,,
NYK,1/10/18,NYK vs. CHI,L,290,119,48,96,50,10,22,45.5,13,21,61.9,11,40,51,24,5,9,18,20,-3,,,,,,,,,,
OKC,1/10/18,OKC @ MIN,L,238,88,32,80,40,6,25,24,18,24,75,10,31,41,13,9,2,18,22,-16,,,,,,,,,,
ORL,1/10/18,ORL @ MIL,L,240,103,39,90,43.3,8,29,27.6,17,18,94.4,8,26,34,26,6,4,8,21,-7,,,,,,,,,,
POR,1/10/18,POR @ HOU,L,241,112,40,83,48.2,9,26,34.6,23,32,71.9,6,34,40,21,5,6,12,26,-9,,,,,,,,,,
UTA,1/10/18,UTA @ WAS,W,240,107,43,92,46.7,11,33,33.3,10,13,76.9,11,28,39,23,15,3,12,17,3,,,,,,,,,,
WAS,1/10/18,WAS vs. UTA,L,241,104,41,78,52.6,10,25,40,12,17,70.6,9,36,45,25,8,1,23,17,-3,,,,,,,,,,
DAL,1/9/18,DAL vs. ORL,W,241,114,43,83,51.8,9,26,34.6,19,22,86.4,5,33,38,27,6,2,4,22,15,,,,,,,,,,
LAL,1/9/18,LAL vs. SAC,W,239,99,37,77,48.1,12,35,34.3,13,21,61.9,9,46,55,30,12,4,25,23,13,,,,,,,,,,
MIA,1/9/18,MIA @ TOR,W,239,90,39,97,40.2,4,22,18.2,8,10,80,20,44,64,18,2,14,13,19,1,,,,,,,,,,
OKC,1/9/18,OKC vs. POR,L,240,106,37,84,44,13,31,41.9,19,26,73.1,11,27,38,20,6,4,14,17,-11,,,,,,,,,,
ORL,1/9/18,ORL @ DAL,L,239,99,36,79,45.6,11,29,37.9,16,22,72.7,9,32,41,27,2,4,13,23,-15,,,,,,,,,,
POR,1/9/18,POR @ OKC,W,240,117,43,81,53.1,10,23,43.5,21,26,80.8,8,34,42,19,10,2,15,20,11,,,,,,,,,,
SAC,1/9/18,SAC @ LAL,L,239,86,30,87,34.5,8,21,38.1,18,27,66.7,10,33,43,15,15,4,16,19,-13,,,,,,,,,,
TOR,1/9/18,TOR vs. MIA,L,240,89,35,90,38.9,7,21,33.3,12,15,80,7,30,37,15,7,12,5,16,-1,,,,,,,,,,
ATL,1/8/18,ATL @ LAC,L,239,107,38,96,39.6,10,37,27,21,29,72.4,19,37,56,20,9,8,14,26,-1,,,,,,,,,,
BKN,1/8/18,BKN vs. TOR,L,266,113,39,100,39,12,33,36.4,23,28,82.1,11,44,55,22,8,2,16,27,-1,,,,,,,,,,
CHI,1/8/18,CHI vs. HOU,L,239,107,40,86,46.5,12,28,42.9,15,18,83.3,3,34,37,26,6,5,11,17,-9,,,,,,,,,,
CLE,1/8/18,CLE @ MIN,L,241,99,37,84,44,13,38,34.2,12,16,75,8,29,37,26,0,4,13,15,-28,,,,,,,,,,
DEN,1/8/18,DEN @ GSW,L,239,114,47,95,49.5,8,19,42.1,12,16,75,13,26,39,30,8,3,11,16,-10,,,,,,,,,,
DET,1/8/18,DET @ NOP,L,239,109,41,93,44.1,8,27,29.6,19,22,86.4,12,27,39,22,5,4,12,18,-3,,,,,,,,,,
GSW,1/8/18,GSW vs. DEN,W,239,124,48,85,56.5,13,30,43.3,15,21,71.4,10,33,43,33,7,10,16,15,10,,,,,,,,,,
HOU,1/8/18,HOU @ CHI,W,240,116,39,86,45.3,20,54,37,18,24,75,11,40,51,28,6,6,16,14,9,,,,,,,,,,
IND,1/8/18,IND vs. MIL,W,241,109,44,79,55.7,7,22,31.8,14,20,70,8,32,40,30,9,5,16,23,13,,,,,,,,,,
LAC,1/8/18,LAC vs. ATL,W,240,108,38,85,44.7,9,18,50,23,34,67.6,14,33,47,16,10,9,16,25,1,,,,,,,,,,
MIL,1/8/18,MIL @ IND,L,240,96,34,74,45.9,7,27,25.9,21,27,77.8,5,29,34,18,11,4,17,24,-13,,,,,,,,,,
MIN,1/8/18,MIN vs. CLE,W,239,127,52,100,52,10,31,32.3,13,17,76.5,15,41,56,30,6,2,5,17,28,,,,,,,,,,
NOP,1/8/18,NOP vs. DET,W,241,112,46,82,56.1,6,22,27.3,14,21,66.7,9,32,41,31,7,9,16,18,3,,,,,,,,,,
SAC,1/8/18,SAC vs. SAS,L,240,100,40,82,48.8,8,23,34.8,12,16,75,8,37,45,19,6,1,18,14,-7,,,,,,,,,,
SAS,1/8/18,SAS @ SAC,W,239,107,44,90,48.9,11,26,42.3,8,13,61.5,8,29,37,23,11,4,10,12,7,,,,,,,,,,
TOR,1/8/18,TOR @ BKN,W,265,114,43,101,42.6,10,34,29.4,18,23,78.3,8,43,51,19,7,12,15,27,1,,,,,,,,,,
ATL,1/7/18,ATL @ LAL,L,240,113,41,94,43.6,12,34,35.3,19,23,82.6,10,27,37,22,5,4,15,16,-19,,,,,,,,,,
DAL,1/7/18,DAL vs. NYK,L,241,96,35,92,38,6,24,25,20,24,83.3,9,31,40,22,7,3,7,20,-4,,,,,,,,,,
LAL,1/7/18,LAL vs. ATL,W,240,132,48,86,55.8,16,36,44.4,20,25,80,6,43,49,32,13,6,18,25,19,,,,,,,,,,
MIA,1/7/18,MIA vs. UTA,W,240,103,40,83,48.2,9,29,31,14,20,70,8,29,37,21,6,6,8,16,1,,,,,,,,,,
NYK,1/7/18,NYK @ DAL,W,239,100,38,83,45.8,6,16,37.5,18,20,90,10,49,59,22,4,6,16,23,4,,,,,,,,,,
OKC,1/7/18,OKC @ PHX,L,240,100,40,86,46.5,8,27,29.6,12,21,57.1,8,34,42,23,7,7,11,17,-14,,,,,,,,,,
PHX,1/7/18,PHX vs. OKC,W,241,114,39,88,44.3,17,39,43.6,19,23,82.6,12,31,43,24,6,6,7,19,14,,,,,,,,,,
POR,1/7/18,POR vs. SAS,W,240,111,48,92,52.2,8,23,34.8,7,10,70,9,29,38,19,7,5,9,24,1,,,,,,,,,,
SAS,1/7/18,SAS @ POR,L,241,110,40,81,49.4,11,23,47.8,19,26,73.1,10,32,42,26,4,5,14,16,-1,,,,,,,,,,
UTA,1/7/18,UTA @ MIA,L,240,102,37,82,45.1,10,32,31.3,18,20,90,8,36,44,15,6,5,11,18,-1,,,,,,,,,,
BKN,1/6/18,BKN vs. BOS,L,242,85,30,91,33,6,31,19.4,19,22,86.4,12,43,55,11,2,11,16,14,-2,,,,,,,,,,
BOS,1/6/18,BOS @ BKN,W,239,87,37,98,37.8,5,18,27.8,8,15,53.3,12,32,44,12,8,13,4,17,2,,,,,,,,,,
CHI,1/6/18,CHI @ IND,L,239,86,30,80,37.5,10,32,31.3,16,20,80,9,24,33,15,4,6,16,15,-39,,,,,,,,,,
CLE,1/6/18,CLE @ ORL,W,239,131,47,94,50,15,34,44.1,22,31,71,14,31,45,25,11,2,17,26,4,,,,,,,,,,
DEN,1/6/18,DEN @ SAC,L,239,98,35,76,46.1,13,34,38.2,15,21,71.4,8,38,46,20,2,6,25,17,-8,,,,,,,,,,
DET,1/6/18,DET vs. HOU,W,240,108,38,75,50.7,12,25,48,20,27,74.1,5,30,35,21,8,4,11,15,7,,,,,,,,,,
GSW,1/6/18,GSW @ LAC,W,242,121,39,94,41.5,13,39,33.3,30,37,81.1,14,40,54,31,13,10,16,25,16,,,,,,,,,,
HOU,1/6/18,HOU @ DET,L,240,101,38,90,42.2,15,47,31.9,10,11,90.9,12,30,42,29,5,4,13,20,-7,,,,,,,,,,
IND,1/6/18,IND vs. CHI,W,240,125,48,86,55.8,15,31,48.4,14,18,77.8,10,39,49,24,9,4,12,19,39,,,,,,,,,,
LAC,1/6/18,LAC vs. GSW,L,239,105,39,91,42.9,3,11,27.3,24,30,80,10,35,45,19,10,7,18,25,-16,,,,,,,,,,
MIL,1/6/18,MIL @ WAS,W,240,110,39,80,48.8,7,22,31.8,25,30,83.3,10,35,45,20,11,6,15,26,7,,,,,,,,,,
MIN,1/6/18,MIN vs. NOP,W,241,116,44,90,48.9,9,18,50,19,21,90.5,13,34,47,26,10,5,9,20,18,,,,,,,,,,
NOP,1/6/18,NOP @ MIN,L,242,98,33,78,42.3,6,29,20.7,26,28,92.9,7,31,38,20,5,6,15,19,-18,,,,,,,,,,
ORL,1/6/18,ORL vs. CLE,L,241,127,49,98,50,14,37,37.8,15,22,68.2,14,32,46,29,5,2,19,28,-4,,,,,,,,,,
SAC,1/6/18,SAC vs. DEN,W,239,106,42,94,44.7,9,25,36,13,17,76.5,10,29,39,21,16,4,9,22,8,,,,,,,,,,
WAS,1/6/18,WAS vs. MIL,L,240,103,37,78,47.4,8,21,38.1,21,29,72.4,4,30,34,25,6,6,14,22,-7,,,,,,,,,,
ATL,1/5/18,ATL @ POR,L,239,89,30,83,36.1,8,26,30.8,21,25,84,11,28,39,14,7,5,16,16,-21,,,,,,,,,,
BOS,1/5/18,BOS vs. MIN,W,242,91,38,94,40.4,6,36,16.7,9,13,69.2,17,39,56,24,6,4,10,22,7,,,,,,,,,,
CHA,1/5/18,CHA @ LAL,W,241,108,42,99,42.4,12,33,36.4,12,16,75,16,40,56,26,10,3,14,17,14,,,,,,,,,,
CHI,1/5/18,CHI @ DAL,W,241,127,44,78,56.4,14,28,50,25,31,80.6,8,34,42,25,9,3,18,19,3,,,,,,,,,,
DAL,1/5/18,DAL vs. CHI,L,239,124,49,92,53.3,14,32,43.8,12,17,70.6,7,27,34,33,11,2,13,24,-3,,,,,,,,,,
DEN,1/5/18,DEN vs. UTA,W,240,99,38,86,44.2,14,35,40,9,15,60,4,33,37,24,9,1,10,11,8,,,,,,,,,,
DET,1/5/18,DET @ PHI,L,240,78,30,78,38.5,7,22,31.8,11,19,57.9,6,28,34,20,9,4,12,14,-36,,,,,,,,,,
LAL,1/5/18,LAL vs. CHA,L,240,94,38,94,40.4,9,36,25,9,12,75,12,34,46,24,7,3,16,19,-14,,,,,,,,,,
MEM,1/5/18,MEM vs. WAS,L,241,100,35,86,40.7,10,30,33.3,20,26,76.9,11,35,46,20,6,9,16,25,-2,,,,,,,,,,
MIA,1/5/18,MIA vs. NYK,W,264,107,38,94,40.4,12,42,28.6,19,20,95,15,29,44,24,10,5,14,19,4,,,,,,,,,,
MIL,1/5/18,MIL vs. TOR,L,239,110,41,77,53.2,7,17,41.2,21,29,72.4,5,23,28,26,4,4,11,23,-19,,,,,,,,,,
MIN,1/5/18,MIN @ BOS,L,240,84,28,76,36.8,7,23,30.4,21,28,75,9,34,43,15,6,5,12,15,-7,,,,,,,,,,
NYK,1/5/18,NYK @ MIA,L,265,103,39,80,48.8,5,13,38.5,20,23,87,8,31,39,14,11,7,19,26,-4,,,,,,,,,,
PHI,1/5/18,PHI vs. DET,W,239,114,44,90,48.9,14,30,46.7,12,13,92.3,13,42,55,29,5,4,12,17,36,,,,,,,,,,
PHX,1/5/18,PHX @ SAS,L,240,89,35,83,42.2,7,30,23.3,12,18,66.7,9,37,46,22,11,2,23,23,-14,,,,,,,,,,
POR,1/5/18,POR vs. ATL,W,240,110,43,80,53.8,13,30,43.3,11,14,78.6,6,38,44,30,11,5,15,20,21,,,,,,,,,,
