TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
DEN,5/7/19,DEN vs. POR,W,239,124,44,89,49.4,8,24,33.3,28,31,90.3,10,52,62,26,4,4,8,22,26,,,,,,,,,,
PHI,5/7/19,PHI @ TOR,L,240,89,33,79,41.8,6,24,25,17,20,85,5,32,37,19,6,5,19,26,-36,,,,,,,,,,
POR,5/7/19,POR @ DEN,L,239,98,36,98,36.7,10,37,27,16,30,53.3,13,30,43,19,6,5,6,23,-26,,,,,,,,,,
TOR,5/7/19,TOR vs. PHI,W,240,125,40,82,48.8,16,40,40,29,33,87.9,6,36,42,22,12,2,10,18,36,,,,,,,,,,
BOS,5/6/19,BOS vs. MIL,L,240,101,34,90,37.8,9,41,22,24,30,80,9,42,51,25,3,5,10,20,-12,,,,,,,,,,
GSW,5/6/19,GSW @ HOU,L,239,108,42,90,46.7,8,33,24.2,16,23,69.6,8,35,43,24,6,2,11,21,-4,,,,,,,,,,
HOU,5/6/19,HOU vs. GSW,W,239,112,39,89,43.8,17,50,34,17,24,70.8,13,37,50,18,6,6,13,23,4,,,,,,,,,,
MIL,5/6/19,MIL @ BOS,W,239,113,44,100,44,8,37,21.6,17,25,68,11,45,56,25,4,5,7,25,12,,,,,,,,,,
DEN,5/5/19,DEN @ POR,W,241,116,40,92,43.5,11,25,44,25,28,89.3,17,28,45,21,7,4,8,22,4,,,,,,,,,,
PHI,5/5/19,PHI vs. TOR,L,239,96,33,82,40.2,12,38,31.6,18,25,72,11,32,43,22,8,6,12,23,-5,,,,,,,,,,
POR,5/5/19,POR vs. DEN,L,240,112,39,82,47.6,12,28,42.9,22,28,78.6,12,31,43,18,4,5,14,27,-4,,,,,,,,,,
TOR,5/5/19,TOR @ PHI,W,240,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,6,3,13,24,5,,,,,,,,,,
GSW,5/4/19,GSW @ HOU,L,266,121,42,95,44.2,14,33,42.4,23,29,79.3,7,28,35,27,6,6,8,22,-5,,,,,,,,,,
HOU,5/4/19,HOU vs. GSW,W,265,126,45,93,48.4,18,42,42.9,18,26,69.2,17,38,55,20,4,6,13,24,5,,,,,,,,,,
BOS,5/3/19,BOS vs. MIL,L,240,116,35,81,43.2,16,40,40,30,32,93.8,6,38,44,24,9,3,17,27,-7,,,,,,,,,,
DEN,5/3/19,DEN @ POR,L,341,137,54,119,45.4,15,42,35.7,14,20,70,24,42,66,28,11,8,20,27,-3,,,,,,,,,,
MIL,5/3/19,MIL @ BOS,W,239,123,42,83,50.6,15,37,40.5,24,36,66.7,7,37,44,23,8,7,15,26,7,,,,,,,,,,
POR,5/3/19,POR vs. DEN,W,340,140,52,124,41.9,12,42,28.6,24,28,85.7,24,38,62,23,13,5,13,24,3,,,,,,,,,,
PHI,5/2/19,PHI vs. TOR,W,239,116,43,84,51.2,10,23,43.5,20,23,87,9,36,45,29,4,8,13,17,21,,,,,,,,,,
